Moisture
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
3.7
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
6.7
6.7
6.7
6.7
6.7
6.7
6.7
6.7
6.7
6.7
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.8
8.8
8.8
8.8
8.8
8.8
8.8
10.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
